batch_size,dropout,epochs,learning_rate,optimizer,epochs_ran,val_accuracy,val_f1_macro,val_recall_macro,val_loss
64,0.4,150,0.0001,rmsprop,150,0.7242,0.4988,0.5239,0.8559
32,0.4,100,0.0001,adam,100,0.727,0.4964,0.5188,0.8504
32,0.3,100,0.0005,sgd,100,0.727,0.4941,0.5153,0.8363
64,0.3,100,0.001,sgd,100,0.7242,0.4941,0.5165,0.8398
128,0.2,50,0.0001,rmsprop,50,0.727,0.494,0.5224,0.8293
64,0.4,150,0.001,sgd,150,0.7131,0.4808,0.5021,0.8503
32,0.3,50,0.001,sgd,50,0.7214,0.479,0.5069,0.8403
64,0.4,100,0.0001,rmsprop,100,0.7131,0.4621,0.4996,0.92
32,0.1,150,0.0001,sgd,150,0.7075,0.4556,0.4938,0.8513
32,0.4,150,0.0005,sgd,150,0.7019,0.4545,0.4798,0.8542
32,0.2,50,0.0005,sgd,50,0.7047,0.4499,0.4938,0.8496
128,0.1,50,0.001,sgd,50,0.7075,0.4461,0.4944,0.8769
128,0.2,100,0.001,sgd,100,0.6992,0.4436,0.4895,0.8387
64,0.2,50,0.001,sgd,50,0.6992,0.4433,0.4895,0.8453
64,0.4,100,0.0001,adam,100,0.7047,0.4416,0.4927,0.9051
128,0.4,150,0.0001,adam,150,0.7075,0.4412,0.4928,0.9157
128,0.1,100,0.0005,sgd,100,0.7047,0.4397,0.4912,0.876
128,0.4,150,0.0001,rmsprop,150,0.7019,0.4393,0.4843,0.9197
128,0.3,150,0.001,sgd,150,0.6964,0.4382,0.4828,0.8644
64,0.3,50,0.0001,rmsprop,50,0.6964,0.438,0.4812,0.8947
64,0.3,150,0.0005,sgd,150,0.7019,0.4357,0.4844,0.8654
32,0.1,100,0.0001,sgd,100,0.6657,0.4354,0.4503,0.9298
64,0.3,50,0.0001,adam,50,0.6908,0.4339,0.4793,0.8732
64,0.2,100,0.0005,sgd,100,0.6964,0.432,0.4841,0.8464
64,0.1,50,0.0005,sgd,50,0.688,0.4172,0.4628,0.887
128,0.2,150,0.0005,sgd,150,0.6936,0.4145,0.4798,0.8787
32,0.4,50,0.0001,adam,50,0.6769,0.3812,0.4385,0.9372
32,0.2,150,0.0001,sgd,150,0.6713,0.379,0.4349,0.9251
32,0.4,100,0.0005,sgd,100,0.6797,0.3765,0.428,0.9024
64,0.2,50,0.0005,sgd,50,0.6546,0.3576,0.4076,0.9453
128,0.3,100,0.001,sgd,100,0.663,0.3527,0.4151,0.9143
64,0.3,100,0.0005,sgd,100,0.6685,0.3526,0.4187,0.9208
128,0.2,50,0.001,sgd,50,0.6602,0.3476,0.4085,0.9387
64,0.3,50,0.001,sgd,50,0.6657,0.3465,0.4137,0.9197
